set;instance;MinCourseCap;AddSlotPenalty;AddSlots;MinAttendees;obj;pref_sum;penalty_nbCourses;penalty_addSlots;sum_z;sum_y;status;pref_sum_opt;pref_sum_rand;slack_nbPlannedCourses;slack_courseCapacity;slack_minAttendees;
set7;1;20;40;20;8;16261;14704;1197;360;20;9;102;14759;42000;57;177;1834;
set7;2;20;40;20;8;17817;16176;1281;360;20;9;102;16171;42000;61;329;1940;
set7;3;20;40;20;8;16759;14975;1344;440;20;11;102;14753;42000;64;168;1848;
set7;4;20;40;20;8;15351;14609;462;280;20;7;102;14577;42000;22;380;1830;
set7;5;20;40;20;8;18890;15573;2877;440;20;11;102;16276;42000;137;161;1900;
set7;6;20;40;20;8;18044;15128;2436;480;20;12;102;15879;42000;116;162;1825;
set7;7;20;40;20;8;15303;14378;525;400;20;10;102;14350;42000;25;222;1834;
set7;8;20;40;20;8;17968;16972;756;240;20;6;102;16574;42000;36;203;1997;
set7;9;20;40;20;8;15712;15382;210;120;20;3;102;15117;42000;10;519;1901;
set7;10;20;40;20;8;16672;15239;1113;320;20;8;102;15248;42000;53;298;1858;
set7;11;20;40;20;8;17393;14229;2604;560;20;14;102;15030;42000;124;112;1828;
set7;12;20;40;20;8;17390;14577;2373;440;20;11;102;15052;42000;113;276;1810;
set7;13;20;40;20;8;16572;15601;651;320;20;8;102;15688;42000;31;391;1966;
set7;14;20;40;20;8;16928;16161;567;200;20;5;102;16354;42000;27;388;1972;
set7;15;20;40;20;8;18366;14406;3360;600;20;15;102;15954;42000;160;48;1840;
set7;16;20;40;20;8;16784;15244;1260;280;20;7;102;15531;42000;60;174;1874;
set7;17;20;40;20;8;17475;16752;483;240;20;6;102;16520;42000;23;348;2012;
set7;18;20;40;20;8;19557;16868;2289;400;20;10;102;17988;42000;109;271;2004;
set7;19;20;40;20;8;16615;15892;483;240;20;6;102;15769;42000;23;398;1945;
set7;20;20;40;20;8;17824;15309;1995;520;20;13;102;15673;42000;95;242;1892;
